0,0
0,20
0,52
0,61
0,66
0,72
0,76
1,7
1,15
1,24
1,43
1,88
1,97
2,35
2,65
3,3
3,29
4,37
4,48
4,57
4,91
5,0
5,11
6,19
6,85
7,43
7,77
8,6
8,30
9,72
9,99
10,11
10,67
10,80
10,96
11,19
11,22
11,50
11,61
12,35
13,16
13,72
13,97
14,0
14,46
14,89
15,23
16,55
17,17
17,42
17,64
17,74
18,11
18,78
20,30
20,70
21,20
21,37
21,88
21,97
22,46
22,64
22,89
23,56
23,94
25,2
25,24
25,39
25,76
26,14
26,17
26,33
26,81
26,98
27,7
27,63
27,68
28,30
28,90
29,53
29,60
29,79
30,20
30,84
30,99
31,2
31,42
31,74
32,13
32,48
34,33
35,21
35,93
36,52
36,69
36,77
37,27
37,85
38,4
38,10
38,16
38,43
39,20
40,57
41,40
41,65
41,98
42,1
42,49
42,77
43,5
43,11
43,18
43,26
43,32
44,54
45,38
45,98
46,42
46,85
46,92
47,44
48,14
48,18
49,62
49,71
50,2
50,88
50,96
51,30
51,36
51,50
52,40
53,9
53,19
53,82
54,60
54,91
55,25
56,64
56,78
56,94
57,36
57,50
58,22
59,0
59,58
59,98
60,26
60,69
60,89
62,11
62,17
62,55
63,43
63,50
64,35
64,62
64,76
64,83
65,6
65,97
66,24
66,92
67,54
67,72
67,75
67,87
69,0
69,44
69,68
69,91
70,15
70,79
71,87
71,99
72,56
72,62
72,94
73,28
74,9
74,68
74,98
75,2
75,51
75,61
76,19
76,82
77,43
77,76
78,0
78,14
78,25
78,32
78,38
79,99
80,9
80,57
80,66
80,91
81,2
81,21
81,71
82,30
82,79
83,49
83,62
83,68
84,35
85,15
85,20
85,26
85,42
85,85
86,2
86,10
86,98
88,55
88,65
88,90
89,19
89,74
90,38
91,0
91,46
92,86
92,96
93,6
93,14
93,30
93,59
94,36
94,68
94,81
95,24
96,27
96,56
96,73
96,92
97,1
97,31
97,41
97,66
98,20
98,37
98,74
98,85
99,11
99,50
99,61
99,97
