1527,1181,1369
-3573,-4780,1102
1283,-1001,2508
-4604,-1012,-919
-2941,-3992,2987
1254,1293,-53
-62,-23,33
-1591,-2911,1829
-3541,-1173,1323
1164,-1237,370
203,-1279,1133
-4830,-4523,-103
-2955,-1551,-1650
-3491,-2384,1241
-3565,-4922,226
-3337,-3639,-1039
-2985,-1691,-2903
-5788,-4587,-97
-3486,-3587,-137
-2235,-4708,3548
-3348,-3537,3872
-1116,-982,2592
-3316,-4688,3738
-5198,-2912,-538
-4628,-5895,2715
-2318,-847,147
-4814,-3504,-1008
-4928,-4721,2591
-872,-2121,1472
-3285,-3470,1298
-1061,208,1529
-1257,-3424,-1101
-2507,-1991,-3282
35,-2177,1054
-569,-2767,-512
-571,-1730,1963
-2481,170,1501
-1050,-3602,1219
-3461,-1100,1284
-1699,-2823,-573
-4438,-1168,3403
-2802,-1675,-1808
-42,-3737,207
-2362,-3626,1219
-1010,-3587,1126
-4642,-2482,-1068
-1224,18,2466
-570,-2842,-1638
-4705,366,24
-2306,23,2424
-3436,-1010,-996
-390,-511,-426
-54,-4862,-22
-4796,226,3627
231,224,1260
-3543,281,-1015
1186,-1001,2381
-2464,-833,13
-1351,-3553,306
-4689,-5559,1375
-3498,-4798,990
-4062,-528,-500
-2485,-3536,-1315
-2441,-3622,2232
-1181,-2018,-1016
1315,326,2535
-4422,-2344,64
-2324,-3625,1222
-2458,-3674,3632
-2037,-1240,-2414
-2324,20,2451
-1345,-3618,302
-2358,-2105,1417
289,281,-1301
-4488,-1036,3448
200,-2517,2476
117,182,1391
-5326,-2757,-517
-3374,-2406,-107
28,1451,207
-2860,-4044,627
240,-3649,-1398
-4436,-2487,33
-4167,-5148,1820
-3454,-5568,1420
-2507,-3571,-1378
349,311,-1398
-3508,290,-168
-3389,-2319,2541
-4874,-4675,-945
-2343,-2371,-1367
-3327,-4589,3735
-1177,-126,-997
-2433,-2047,2270
-4155,-4144,3002
-4771,-3402,-1151
-5670,-4820,1375
-2866,-1583,-2984
-4847,-1293,1299
-4538,-1294,162
-951,-842,1109
-4703,-1268,153
-1757,-2793,605
-5648,-2434,-1069
-3593,-3604,-70
236,-4511,-895
-3331,-2205,-1387
-2501,-3412,293
-3347,-3679,3939
-2298,136,1525
171,-2389,2533
-4594,-2404,-1070
-3386,-2166,-89
-2515,-3695,-1349
-430,-376,-607
-3289,-3374,1189
-2541,-4731,2446
-2301,-3473,-2363
-812,-4509,-937
-3387,-1232,-991
-2500,-4628,2503
-185,-2529,310
-3669,-1990,-2463
-4906,-3661,46
-1214,-2148,-1029
-4096,-383,3149
-5356,-4141,-426
-3329,-3613,2255
-4721,-3589,2267
-5656,-4639,1295
-28,-3479,209
-1250,-55,169
-3374,-991,-91
4,-2361,1067
-1088,-3563,-2427
-3414,-2430,1128
-3284,-4380,2495
-3579,-1090,2675
234,-2246,-2234
-1191,125,1494
-797,-2211,308
-3333,-2157,-1255
-3301,-2353,-3706
-5663,-4552,-97
292,-786,2439
-1253,-2025,-1088
-4034,-2933,-583
-2427,-3624,2400
-2323,-4505,1476
-35,-2161,1079
-3401,-3628,2372
-2370,-2062,2424
-4875,-4471,-873
-812,-872,-1004
-4544,-2307,-1054
-892,-1034,61
-6140,-3381,-922
122,-1233,1206
-1046,-2003,2473
-3359,-5921,2535
-3778,-1122,3815
-5955,-2223,-130
-3698,-1237,3860
-1133,-3604,-2416
-1213,-3552,-1181
-4389,-3651,1350
-4401,-2537,34
-4804,346,3625
-6168,-3680,-20
-1688,-2766,1888
-3547,-1256,-2361
-3499,-3697,2289
-4610,-1165,231
158,-936,-863
-2417,-964,-3694
-3482,263,-67
-6038,-4763,-983
-4835,-4460,-173
-4718,249,3564
1124,8,1019
-3201,-946,-125
-3448,-2233,2395
-4781,409,2468
-3728,219,2525
-2399,-924,-3599
-30,-2544,371
-4703,-10,1431
-2865,-1711,-439
236,-2209,-2196
-131,1208,1282
-4526,44,1405
-2463,-786,2376
-2953,-2784,-568
-2160,-2250,196
-1321,34,185
-4614,-3402,3566
-2473,-2376,-1285
-1091,-1006,2457
-3323,-6130,2527
-3393,-3666,-1098
-6041,-3333,1373
-6111,-3740,139
-1241,-32,2297
-4694,449,2314
-5600,-2406,-1153
-2200,-4701,147
-1009,-765,1133
-2459,-2045,-3376
-2456,-4475,1467
-4874,-4848,2632
-879,-1974,2548
-2965,-1568,1931
1388,-925,1419
-57,1062,1279
405,156,2399
343,-1156,160
-2197,-4488,1484
-909,-858,-822
1186,-955,2456
-2520,131,1517
-2440,-1974,-3355
-4813,-4642,3897
-1151,-3337,-1198
-1761,-2763,-1768
-438,-2937,-1817
-1328,-3485,2335
302,-797,2491
-1223,15,317
-3299,-2092,-3692
-3735,316,2487
-4605,294,36
-5970,-4907,-1019
-874,-2056,1329
-4097,-4118,1879
-5774,-2427,-1143
-2941,-2786,745
-2523,-921,2356
1414,-750,1346
-2793,-1717,601
-6060,-2180,6
-3274,-5980,2573
-2468,-3646,3849
-3454,-1012,2705
-3468,-1196,1323
-1121,-2157,-2461
803,-350,591
-22,1230,1234
-2376,-852,2281
-2097,-1262,-2558
-858,-2198,240
-1128,-3577,308
-4799,-4808,2523
-552,-447,1831
-1248,-3346,2384
-4451,-1049,3384
-4663,-5958,2592
-3525,-1135,2682
-2311,-3656,1218
-4607,-5611,1276
-3392,-4355,2335
-1006,-71,-938
-4763,409,2403
-4654,258,38
76,202,1161
-581,-525,768
93,-3560,-2214
-3576,-1143,-2454
-6106,-3620,54
-3331,-4691,3677
-4611,301,-1348
0,0,0
-2387,-1115,1174
-914,-2080,1439
-2257,-1197,1228
-4688,-3685,2275
786,739,662
-887,-858,1164
-3361,-2349,2484
-6018,-3262,1204
-2830,-387,1952
-2201,-4590,1
-22,-2234,-1309
-1140,-4715,309
-4184,-348,1934
378,-1121,137
-2319,-1198,1180
-1182,-2164,-2445
280,317,-1260
-4166,-1553,-508
620,785,757
-4462,-866,2432
-4969,-4657,3918
1284,-848,1355
-2537,-3526,241
-4730,-4746,1427
-4808,-4389,-114
214,-3652,-1151
-2900,-2927,611
-2957,-4131,780
-4468,-3565,1271
-4974,-3595,-85
-3504,-885,-3557
-3369,-3675,3850
-488,-1552,598
-2343,124,2464
-997,-3534,1284
-2824,-4062,3107
-1644,-1684,719
-4016,-5329,1957
-4857,-4615,-831
266,-4657,-956
-2358,-2077,1433
-2562,-3734,3753
1249,44,-15
-6159,-3342,-988
-2406,-896,-3744
-3327,-919,-214
225,-2494,2591
-2258,-4785,3543
-4740,-4666,1475
-502,-401,604
-1081,-4680,171
-3679,-3536,-127
-4592,-1232,-902
-3378,201,-1010
-5275,-3980,-567
-4905,-3642,-50
-3485,173,-1081
-5797,-4628,-29
-4182,-3993,3159
-3990,-522,3029
263,203,2396
-3759,-1191,3939
-1101,77,1450
-2293,-1286,-1099
-2255,-872,-26
649,-442,679
-2838,-1585,781
-4630,-4831,1460
396,-1271,169
1158,32,104
1396,388,2642
-820,-1021,117
-472,-543,1964
-1588,-2924,716
4,-2212,-2259
-2859,-2862,-434
206,-1323,1283
-3386,245,1103
1064,-1290,268
-5303,-4081,725
-2554,-4647,2328
-4178,-2832,-517
240,-981,-982
18,-3571,171
-4911,-4622,3859
-6009,-2189,-131
-580,-479,-506
-3998,-2751,-467
-6134,-3287,-824
-1025,-2078,2574
-2285,-1159,-1123
-4804,-1298,1306
-3439,-1058,-996
-2985,-1568,-532
-22,-4,10
-2474,-3708,2341
1324,1447,-77
-3264,-4441,2384
404,-836,2428
615,-543,1943
-3363,13,3736
-3599,217,2483
1176,-19,1046
-807,-2283,94
-2497,-2028,2455
-3409,-5587,1460
-119,-2524,189
-1993,-1146,-2519
-3584,-4819,301
1514,1078,1394
-3614,-784,-3598
-4002,-1675,-565
-4404,-3530,1347
-3599,-1333,-2520
-933,-1047,-14
-4416,-945,2382
1093,130,1039
-4611,-80,1398
-3458,199,-106
-507,-2946,-614
-3393,-3612,-1051
-1651,-2912,-1703
-821,-876,-850
-6063,-4773,-1069
-6087,-3304,1158
-2295,-2204,-2474
-3442,-20,3757
1313,437,2539
1368,1369,-32
-468,-1735,698
-4641,-5784,2667
-1161,-3447,-2478
-4179,-407,-421
-4632,-3354,3756
719,-368,1865
-2140,-4632,-2
-4689,-1149,-994
-19,-2292,-1163
-3320,-5564,1565
-4753,-3633,2235
-4607,-3322,3556
-2356,-1184,-1217
73,-3616,-2185
183,-3625,-1319
227,-1021,-862
-2311,-2169,-2505
-1149,-953,2381
-2177,-2219,277
-1330,-3442,2416
-3378,-2200,-1406
-3502,-2287,1113
-2387,-2172,-2494
1367,50,62
-966,-78,-976
-5653,-4782,1179
4,1273,167
-4691,-5639,1241
-3990,-415,1802
-3617,-2047,-2386
-2115,-3433,-2327
-3230,-2220,-3627
280,-4413,-941
-3455,-2276,-92
35,-4892,96
1199,-1333,289
-4027,-526,1959
-46,-4811,88
-2211,-2283,208
-4665,385,-1192
-3474,296,1075
-3385,-4781,1084
-1314,-2089,-2433
-3237,-3419,1361
-2453,-3501,220
-498,-1640,1796
55,-3438,-2215
27,1512,204
-2536,-2023,1413
-76,-2290,-1313
-4563,-939,2397
-3481,-4831,322
-4645,331,-1360
361,269,2412
-1111,-21,2353
-2167,-3463,-2244
-3729,-1988,-2411
-3338,427,1095
-2287,-4732,3728
-2198,-2389,-1287
-4798,-3350,-931
-3573,6,3774
-2923,-500,1804
-430,-4081,-505
1414,1235,1371
-3578,-968,-3557
-4076,-4001,711
-4907,-1133,1291
-812,-4380,-1024
